"""Remember Me"" Default Value","""Запомнить меня"" значение по умолчанию"
"(Not %s?)","(Не %s?)"
"* Required Fields","* Обязательные поля"
"Address","Адрес"
"Address Information","Информация об адресе"
"Already registered?","Уже зарегистрированы??"
"Back","Вернуться"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Создав учётную запись на нашем сайте, вы будете тратить меньше времени на оформление заказа, сможете хранить несколько адресов доставки, отслеживать состояние заказов, а также многое другое."
"Cannot load configuration from file %s.","Невозможно загрузить конфигурацию из файла %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Выбор галочки &quot;Запомнить меня&quot; позволит вам просматривать корзину покупок на этом компьютере когда вы разлогинитесь."
"Checkout as Guest","Оформить заказ как Гость"
"Checkout as a Guest","Оформить заказ как Гость"
"Checkout as a Guest or Register","Оформить заказ как Гость или Зарегистрироваться"
"City","Город"
"Clear Persistence on Log Out","Очищать хранилище при выходе"
"Close","Закрыть"
"Company","Компания"
"Confirm Password","Подтвердите пароль"
"Continue","Продолжить"
"Country","Страна"
"Create an Account","Создать учётную запись"
"Easy access to your order history and status","Удобный доступ к истории и статусам ваших заказов"
"Email Address","Адрес электронной почты (email)"
"Enable ""Remember Me""","Включить ""Запомнить меня"""
"Enable Persistence","Включить хранение"
"Fast and easy check out","Быстрое оформление заказа"
"Faster checkout","Быстрое оформление заказа"
"Fax","Факс"
"Forgot Your Password?","Забыли пароль?"
"Forgot your password?","Забыли пароль?"
"General Options","Общие параметры"
"If you have an account with us, please log in.","Если у вас есть учётная запись на нашем сайте, пожалуйста, авторизируйтесь."
"Loading next step...","Идёт загрузка следующего шага..."
"Login","Login"
"Login Information","Информация для авторизации"
"Login or Create an Account","Страница авторизации"
"New Customers","Новые клиенты"
"New Here?","Впервые на нашем сайте?"
"Password","Пароль"
"Persist Shopping Cart","Хранить корзину покупок"
"Persistence Lifetime (seconds)","Время хранения (в секундах)"
"Persistent Shopping Cart","Постоянно хранить корзину покупок"
"Personal Information","Личная информация"
"Please enter the following information to create your account.","Пожалуйста, укажите следующую информацию для создания учётной записи."
"Please log in below:","Пожалуйста, введите информацию для входа:"
"Please select region, state or province","Пожалуйста, выберите регион, область или район"
"Register","Зарегистрируйтесь"
"Register and Checkout","Зарегистрироваться и оформить заказ"
"Register and save time!","Зарегистрируйтесь и экономьте время!"
"Register to Create an Account","Зарегистрируйтесь для создания учётной записи"
"Register with us for future convenience:","Зарегистрируйтесь на сайте для удобства в будущем:"
"Registered Customers","Зарегистрированные клиенты"
"Registration is free and easy!","Регистрация бесплатная и не требует усилий!"
"Remember Me","Запомнить меня"
"Returning Customers","Вернувшиеся клиенты"
"Save in address book","Сохранить в адресной книге"
"Save multiple shipping addresses","Возможность сохранения нескольких адресов доставки"
"Select State/Province...","Выберите Штат/провинцию..."
"Select a billing address from your address book or enter a new address.","Выберите адрес, который будет использоваться при создании счёта, из вашей адресной книги или введите новый адрес."
"Ship to different address","Доставить по другому адресу"
"Ship to this address","Доставить на этот адрес"
"Shopping cart has been updated with appropriate prices","Цены в корзине обновлены"
"Sign Up for Newsletter","Подписаться на рассылку"
"Sign in to speed up your checkout process","Авторизуйтесь для ускорения процесса заказа"
"State/Province","Штат/Область"
"Street Address","Адрес"
"Street Address %s","Адрес %s"
"Submit","Отправить"
"Telephone","Телефон"
"To proceed to Checkout, please log in using your email address.","Для перехода к оформлению заказа необходимо войти в систему."
"VAT Number","Номер плательщика НДС (ИНН)"
"View and track orders and more","История заказов и многое другое"
"Welcome, %s!","Добро пожаловать, %s!"
"What's this?","Что это?"
"What\'s this?","Что это?"
"Zip/Postal Code","Почтовый индекс"
